psfMag_r	fiberMag_r	fiber2Mag_r	petroMag_r	deVMag_r	expMag_r	modelMag_r	cModelMag_r	class
20.88733	20.9463	21.50524	20.44942	20.41446	20.51415	20.41446	20.41895	b'GALAXY'
20.98278	20.99338	21.5799	20.28001	20.18401	20.44468	20.18394	20.18401	b'GALAXY'
21.67768	21.68758	22.2628	21.04615	21.00855	21.18859	21.00855	21.03459	b'GALAXY'
18.12026	17.9105	18.55757	16.8399	16.67482	16.96994	16.67482	16.72509	b'GALAXY'
17.70084	17.65853	18.25747	16.71223	16.68553	16.96045	16.68552	16.68553	b'GALAXY'
17.94474	17.83527	18.46351	16.45184	16.42219	16.80007	16.42225	16.42219	b'GALAXY'
19.04541	18.81003	19.44165	18.1273	17.92266	18.12876	18.12876	18.12876	b'GALAXY'
17.6612	17.49521	18.13244	16.19753	16.11569	16.49472	16.11569	16.11569	b'GALAXY'
21.50288	21.94535	22.39212	21.76786	21.54362	21.54376	21.54376	21.54376	b'STAR'
20.99374	20.98781	21.57705	20.3746	20.29807	20.48786	20.29807	20.29899	b'GALAXY'
21.28131	21.60564	22.08295	21.28343	21.24414	21.2435	21.2435	21.2435	b'STAR'
16.93162	16.81316	17.44531	15.377	15.34052	15.68549	15.34051	15.34052	b'GALAXY'
19.38664	18.93033	19.67616	16.56483	16.00123	16.5517	16.5517	16.42924	b'GALAXY'
18.66242	18.50088	19.13841	17.42506	17.29871	17.60903	17.29871	17.33238	b'GALAXY'
18.04952	17.77579	18.45621	15.91102	15.72162	16.14424	15.72164	15.74887	b'GALAXY'
20.7806	20.26963	21.02792	17.47235	16.79274	17.45013	17.45017	17.38221	b'GALAXY'
19.17643	18.75927	19.49193	17.2126	16.77995	17.18417	17.18417	17.18417	b'GALAXY'
18.90914	18.77169	19.40775	17.80384	17.62087	17.84265	17.62087	17.69599	b'GALAXY'
18.36556	18.29825	18.91364	17.38267	17.27589	17.5097	17.27588	17.2899	b'GALAXY'
17.47117	17.28765	17.95893	15.6869	15.56108	15.95623	15.56108	15.56276	b'GALAXY'
18.41488	18.351	18.97008	17.40084	17.27928	17.53232	17.27929	17.28005	b'GALAXY'
18.56508	18.49479	19.11817	17.56659	17.40961	17.65773	17.40961	17.4342	b'GALAXY'
18.32201	18.24289	18.86385	17.29062	17.16277	17.40946	17.16278	17.17336	b'GALAXY'
18.29769	18.32755	18.91006	17.72487	17.66136	17.792	17.66135	17.67774	b'GALAXY'
18.59647	18.46412	19.117	16.95693	16.79423	17.26695	16.79418	16.79423	b'GALAXY'
18.39601	18.32781	18.95243	17.26329	17.16941	17.46345	17.16943	17.16941	b'GALAXY'
18.2931	18.1965	18.84693	16.60213	16.32616	16.66779	16.32616	16.41188	b'GALAXY'
18.19192	18.19577	18.78948	17.52345	17.4624	17.6149	17.46242	17.4624	b'GALAXY'
18.6804	18.4298	19.12392	17.30793	17.05192	17.39146	17.05193	17.16669	b'GALAXY'
20.59696	20.50388	21.10437	20.53895	20.55821	20.56363	20.55821	20.55821	b'STAR'
17.09475	16.90799	17.58379	15.2085	15.08007	15.45929	15.08006	15.09043	b'GALAXY'
18.82901	18.70139	19.35427	16.68238	16.70323	17.44451	16.70312	16.70323	b'GALAXY'
19.11215	18.89291	19.57613	17.34916	16.98516	17.34288	17.34287	17.19451	b'GALAXY'
18.36518	18.24404	18.89295	17.04827	16.89842	17.23969	16.89842	16.94193	b'GALAXY'
18.15419	18.12347	18.74087	16.57654	16.59958	16.95674	16.59959	16.59958	b'GALAXY'
19.72564	19.46264	20.1616	17.71386	17.32391	17.82151	17.32386	17.53048	b'GALAXY'
19.6683	19.38635	20.12094	17.51533	16.9401	17.44809	17.44809	17.44809	b'GALAXY'
18.15718	18.48248	18.96561	18.21475	18.16274	18.16253	18.16253	18.16253	b'STAR'
18.00712	17.90664	18.53122	16.5843	16.54022	16.86598	16.54024	16.54022	b'GALAXY'
16.72779	17.06488	17.54536	16.79936	16.75041	16.75047	16.75042	16.75041	b'STAR'
21.85196	22.24239	22.66548	22.18988	21.88605	21.88591	21.88605	21.88605	b'STAR'
